flat_type,price,flat_price,address,location,location1,buildup_area,buildupArea_sqft,avg_price_sqft,avg_price_thousands,age_of_property,new_age,which_floor,furnishing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
3 BHK Flat,3.95 Cr,3.95,"Runwal Forest Tower 5 To 8, Kanjurmarg West, Mumbai",Kanjurmarg West,Kanjurmarg West,1550 sq.ft,1550,₹25.48 K/sq.ft,25480.0,3 Year Old,3,Higherof 50 floors,Fully Furnished,Runwal Forest Tower 5 To 8,4.0 LacsAccess Zero Brokerage Properties,1130 sq.ft,3,2,1,2 Covered Parking,"Exclusive 3 bhk with 3 bathroom apartment  available for Sale its Fully Furnished Apartment available For Higher floor with attach one Balcony in Living Room with beautiful sky view , its Vaastu Compliant Apartment ,Located in Runwal Forest Building Read More"
1 BHK Flat,19.0 L,0.19,"Ananta Vardhman Nagar, Tembhode, Palghar, Mumbai",Palghar,Palghar,630 sq.ft,630,₹3.02 K/sq.ft,3020.0,3 Year Old,3,Middleof 4 floors,Unfurnished,Ananta Vardhman Nagar,No ChargeAccess Zero Brokerage Properties,390 sq.ft,1,1,2,1 Open Parking,"1 BHK Flat for sale in Palghar, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Palghar and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Palghar. It is Read More"
1 BHK Flat,73.0 L,0.73,"JP North Barcelona, Kashimira, Mira Road East, Mumbai",Mira Road East,Mira Road East,580 sq.ft,580,₹12.59 K/sq.ft,12590.0,1 Years Old,1,Lowerof 25 floors,Semi Furnished,JP North Barcelona,1.5 LacsAccess Zero Brokerage Properties,475 sq.ft,1,2,2,No Parking,"1 BHK Flat for sale in Mumbai. This property is in Mira Bhayandar, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 3. TheRead More"
1 BHK Flat,1.1 Cr,1.1,"Chandak Nischay, Ambawadi, Dahisar East, Mumbai",Dahisar East,Dahisar East,410 sq.ft,410,₹26.83 K/sq.ft,26830.0,1 Years Old,1,Higherof 35 floors,Semi Furnished,Chandak Nischay,1.1 LacsAccess Zero Brokerage Properties,368 sq.ft,1,2,1,2 Covered Parking,"Check out this 1 BHK Flat for sale in Dahisar East, Mumbai. This 1 BHK Flat is perfect for a modern-day lifestyle. Dahisar East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It is Read More"
3 BHK Flat,2.25 Cr,2.25,"Neelam Solstice Phase I, Nalanda Nagar, Ramabai Ambedkar Nagar, Mumbai",Ramabai Ambedkar Nagar,others,1052 sq.ft,1052,₹21.39 K/sq.ft,21390.0,1 Years Old,1,Lowerof 26 floors,Semi Furnished,Neelam Solstice Phase I,2.1 LacsAccess Zero Brokerage Properties,915 sq.ft,3,2,3,1 Covered Parking,"Situated in ghatkopar east, central mumbai suburbs, neelam solstice is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in central mumbai suburbs is your opportunity to be a part of this community. ThiRead More"
3 BHK Flat,2.75 Cr,2.75,"BM Satyam Solaris, Eden Gardens, Anushakti Nagar, Mumbai",Anushakti Nagar,others,841 sq.ft,841,₹32.70 K/sq.ft,32700.000000000004,1 Years Old,1,Lowerof 20 floors,Unfurnished,BM Satyam Solaris,No ChargeAccess Zero Brokerage Properties,841 sq.ft,3,2,No Balcony,1 Covered Parking,"This iconic structure graces the Chembur skyline, setting new standards for luxury living in the area.
We offer over 10 top-notch amenities for your comfort, from a refreshing swimming pool to a state-of-the-art fitness center. Plus, our prime locatiRead More"
2 BHK Flat,2.1 Cr,2.1,"Runwal Bliss Wing B, Kanjurmarg East, Mumbai",Kanjurmarg East,Kanjurmarg East,1150 sq.ft,1150,₹18.26 K/sq.ft,18260.0,1 Years Old,1,Middleof 50 floors,Semi Furnished,Runwal Bliss Wing B,2.1 LacsAccess Zero Brokerage Properties,723 sq.ft,2,2,No Balcony,1 Covered Parking,"Property for sale in Kanjurmarg East, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It is on floor 22. The total number of floors in this building is 50. This Flat's price is Rs 2.1 Cr. Homebuyers will also need to pay Rs 65Read More"
2 BHK Flat,2.1 Cr,2.1,"Runwal Forest Tower 5 To 8, Kanjurmarg West, Mumbai",Kanjurmarg West,Kanjurmarg West,1200 sq.ft,1200,₹17.50 K/sq.ft,17500.0,4 Year Old,4,Higherof 36 floors,Semi Furnished,Runwal Forest Tower 5 To 8,2.1 LacsAccess Zero Brokerage Properties,771 sq.ft,2,2,No Balcony,1 Covered and 1 Open Parking,"2 bhk apartment for sale in one of premium complex of Kanjurmarg west known as 'RUNWAL FORESTS', Complex has all the amenities like theatre, swimming pool, squash court etc., For more details please contact us. More About This Property One of the finRead More"
3 BHK Flat,7.5 Cr,7.5,"Prestige Jasdan Classic, Byculla East, Byculla, Mumbai",Byculla,Byculla,2271 sq.ft,2271,₹33.02 K/sq.ft,33020.0,1 Years Old,1,Middleof 46 floors,Unfurnished,Prestige Jasdan Classic,No ChargeAccess Zero Brokerage Properties,2271 sq.ft,3,3,1,2 Covered Parking,"Prestige Jasdan Classic is in the heart of South Mumbai. More About This Property 3 BHK Flat for sale in Byculla, Mumbai - contact now, for details about the most coveted property. This 3 BHK unit is available in Byculla and offers a premium lifestylRead More"
1 BHK Flat,1.0 Cr,1.0,"Omkar Vive, Kurla West, Mumbai",Kurla West,Kurla West,505 sq.ft,505,₹19.80 K/sq.ft,19800.0,1 Years Old,1,Lowerof 14 floors,Semi Furnished,Omkar Vive,1.0 LacAccess Zero Brokerage Properties,410 sq.ft,1,1,No Balcony,1 Covered Parking,Its a prime property in a prime location new building spacious flat all supermarkets university hospital close by near to bkc gated community More About This Property One of the finest property in Kurla is now available for sale. This is a 1 BHK FlatRead More
2 BHK Flat,2.1 Cr,2.1,"Sheth Montana, Vasant Oscar, Mulund West, Mumbai",Mulund West,Mulund West,805 sq.ft,805,₹26.09 K/sq.ft,26090.0,2 Year Old,2,Middleof 38 floors,Unfurnished,Sheth Montana,2.1 LacsAccess Zero Brokerage Properties,732 sq.ft,2,2,1,1 Covered Parking,"2 bed apartment available for sell in Sheth Montana a project by Sheth Corp, an ultra-luxury address in the lap of Mulund, with a view that can easily put many hill station resorts to shame. With an affluent neighbourhood and an equally opulent strucRead More"
2 BHK Flat,2.2 Cr,2.2,"Piramal Revanta Tower 1, P&T Staff Colony, Mulund West, Mumbai",Mulund West,Mulund West,999 sq.ft,999,₹22.02 K/sq.ft,22020.0,unknown,unknown,unknown,,Piramal Revanta Tower 1,2.2 LacsAccess Zero Brokerage Properties,780 sq.ft,2,2,No Balcony,1 Covered Parking,"Its a 2 BHK Spacious Apartment comes with all modern amenities in the Complex This Gated Community offers amenities right from Stateoftheart gym, Swimming Pool to Kids Play Area and Many more More About This Property One of the finest property in MulRead More"
