flat_type,flat_price,location,buildup_area_sqft,price_per_sqft,age_of_property,new_age,which_floor,furnishing,carpet_area,bedrooms,bathrooms,balcony,parking
3 BHK Flat,2.3,others,1052.0,21860.0,1 Years Old,1.0,Lowerof 26 floors,Semi Furnished,915.0,3.0,2.0,3.0,Yes
3 BHK Flat,5.35,Khar West,1120.0,47770.0,3 BHK,,Higherof 7 floors,Semi Furnished,,3.0,,0.0,Yes
3 BHK Flat,7.35,Juhu,1466.0,50140.0,1 Years Old,1.0,Higherof 16 floors,Semi Furnished,1222.0,3.0,3.0,1.0,Yes
2 BHK Flat,1.9,Mulund West,693.0,27420.0,2 Year Old,2.0,Higherof 42 floors,Semi Furnished,630.0,2.0,2.0,1.0,Yes
3 BHK Flat,2.45,Mulund West,937.0,26150.0,4 Year Old,4.0,Middleof 42 floors,Semi Furnished,781.0,3.0,3.0,0.0,Yes
2 BHK Flat,1.65,Kandivali East,1000.0,16500.0,2 Year Old,2.0,Middleof 21 floors,Unfurnished,707.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.1,Chembur,1050.0,20000.0,1 Years Old,1.0,Middleof 15 floors,Unfurnished,749.0,2.0,2.0,0.0,Yes
4 BHK Flat,5.25,Govandi,1814.0,28940.0,1 Years Old,1.0,Middleof 19 floors,Unfurnished,1511.0,4.0,4.0,1.0,Yes
2 BHK Flat,2.76,Powai,1200.0,23040.0,1 Years Old,1.0,Higherof 30 floors,Semi Furnished,822.0,2.0,2.0,1.0,Yes
2 BHK Flat,3.0,others,910.0,32970.0,1 Years Old,1.0,Higherof 20 floors,Unfurnished,734.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.0,Mulund West,796.0,25130.0,1 Years Old,1.0,Middleof 48 floors,Semi Furnished,680.0,2.0,2.0,1.0,Yes
2 BHK Flat,1.95,Bhandup West,1250.0,15600.0,4 Year Old,4.0,Middleof 36 floors,Unfurnished,807.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.99,Kanjurmarg West,771.0,25810.0,Ready to move,,unknown,,771.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.5,Powai,950.0,26320.0,1 Years Old,1.0,Middleof 24 floors,Unfurnished,667.0,2.0,2.0,0.0,Yes
3 BHK Flat,5.4,Sion,1100.0,49090.0,3 Year Old,3.0,Lowerof 40 floors,Semi Furnished,1040.0,3.0,2.0,2.0,Yes
2 BHK Flat,2.75,Powai,1100.0,25000.0,2 Year Old,2.0,Lowerof 20 floors,Semi Furnished,888.0,2.0,2.0,1.0,Yes
2 BHK Flat,0.88,Mira Road East,911.0,9700.0,Ready to move,,unknown,,516.0,2.0,2.0,3.0,Yes
1 BHK Flat,0.7,Mira Road East,650.0,10770.0,Ready to move,,unknown,,420.0,1.0,2.0,3.0,Yes
2 BHK Flat,2.04,Mulund West,778.0,26220.0,2 BHK,,Higherof 58 floors,Unfurnished,778.0,2.0,2.0,1.0,Yes
1 BHK Flat,0.95,Vikhroli East,388.0,24480.0,2 Year Old,2.0,Middleof 22 floors,Unfurnished,350.0,1.0,2.0,0.0,Yes
2 BHK Flat,2.1,Kanjurmarg West,1200.0,17500.0,4 Year Old,4.0,Higherof 36 floors,Semi Furnished,771.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.78,Kanjurmarg West,661.0,26930.0,4 Year Old,4.0,Middleof 40 floors,Semi Furnished,461.0,2.0,2.0,0.0,Yes
3 BHK Flat,1.7,Mira Road East,1350.0,12590.0,1 Years Old,1.0,Lowerof 30 floors,Semi Furnished,961.0,3.0,3.0,3.0,Yes
3 BHK Flat,4.55,Sion,1660.0,27410.0,3 Year Old,3.0,Higherof 43 floors,Unfurnished,1330.0,3.0,3.0,4.0,Yes
2 BHK Flat,3.5,Mahim,1100.0,31820.0,1 Years Old,1.0,Higherof 30 floors,,725.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.2,Kanjurmarg West,1260.0,17460.0,3 Year Old,3.0,Higherof 36 floors,Unfurnished,771.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.59,Vasai East,990.0,5970.0,2 BHK,,Middleof 33 floors,Unfurnished,670.0,2.0,2.0,3.0,Yes
3 BHK Flat,2.1,Kanjurmarg East,900.0,23330.0,4 Year Old,4.0,Higherof 22 floors,Semi Furnished,784.0,3.0,3.0,0.0,Yes
3 BHK Flat,7.4,Bandra West,1050.0,70480.0,2 Year Old,2.0,Middleof 15 floors,Semi Furnished,1050.0,3.0,3.0,0.0,Yes
3 BHK Flat,2.34,Mulund West,1560.0,15030.0,1 Years Old,1.0,Higherof 40 floors,Semi Furnished,975.0,3.0,3.0,0.0,Yes
1 BHK Flat,1.25,Kurla West,550.0,22730.0,Ready to move,,unknown,,410.0,1.0,1.0,0.0,Yes
1 BHK Flat,0.2,Saphale,575.0,3430.0,1 Years Old,1.0,Lowerof 4 floors,,385.0,1.0,1.0,2.0,no
2 BHK Flat,2.0,Borivali West,950.0,21050.0,1 Years Old,1.0,Middleof 9 floors,Unfurnished,,2.0,,0.0,Yes
1 BHK Flat,1.6,Sion,750.0,21330.0,4 Year Old,4.0,Lowerof 43 floors,Semi Furnished,509.0,1.0,1.0,1.0,Yes
1 BHK Flat,0.92,Bhandup West,600.0,15330.0,4 Year Old,4.0,Middleof 22 floors,Fully Furnished,385.0,1.0,1.0,0.0,Yes
3 BHK Flat,1.5,Mira Road East,1150.0,13040.0,Ready to move,,unknown,,1001.0,3.0,3.0,3.0,Yes
1 BHK Flat,0.39,Naigaon East,575.0,6780.0,Ready to move,,unknown,,407.0,1.0,1.0,1.0,Yes
2 BHK Flat,2.79,Powai,835.0,33410.0,2 Year Old,2.0,Lowerof 20 floors,Unfurnished,735.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.39,Virar West,930.0,4190.0,4 Year Old,4.0,Higherof 12 floors,,540.0,2.0,1.0,3.0,Yes
4 BHK Flat,6.4,Borivali East,1800.0,35550.0,1 Years Old,1.0,Middleof 60 floors,Unfurnished,1375.0,4.0,4.0,0.0,Yes
2 BHK Flat,3.2,Borivali East,1125.0,28440.0,3 Year Old,3.0,Middleof 42 floors,Semi Furnished,935.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.6,Wadala,580.0,27590.0,4 Year Old,4.0,Lowerof 44 floors,Unfurnished,455.0,1.0,1.0,1.0,Yes
3 BHK Flat,1.25,Mira Road East,1420.0,8790.0,Ready to move,,unknown,,1010.0,3.0,2.0,3.0,Yes
2 BHK Flat,2.2,Mulund West,930.0,23660.0,Ready to move,,unknown,,780.0,2.0,2.0,1.0,Yes
2 BHK Flat,1.3,Kanjurmarg West,700.0,18570.0,1 Years Old,1.0,Higherof 36 floors,,471.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.87,Mira Road East,911.0,9560.0,Ready to move,,unknown,,647.0,2.0,2.0,2.0,Yes
1 BHK Flat,0.6,Mira Road East,715.0,8450.0,Ready to move,,unknown,,490.0,1.0,2.0,3.0,Yes
6 BHK Flat,23.0,Worli,4000.0,57500.0,1 Years Old,1.0,Lowerof 78 floors,Semi Furnished,,6.0,,0.0,Yes
1 BHK Flat,1.3,Goregaon East,552.0,23550.0,1 BHK,,Higherof 38 floors,Unfurnished,452.0,1.0,2.0,0.0,Yes
2 BHK Flat,2.4,Kandivali West,900.0,26670.0,1 Years Old,1.0,Middleof 21 floors,Unfurnished,733.0,2.0,2.0,0.0,Yes
2 BHK Flat,4.5,Byculla,798.0,56390.0,1 Years Old,1.0,Middleof 67 floors,,798.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.02,Kandivali East,650.0,15690.0,1 BHK,,Higherof 23 floors,Unfurnished,428.0,1.0,2.0,0.0,Yes
1 BHK Flat,1.05,Borivali West,600.0,17500.0,1 Years Old,1.0,Middleof 10 floors,Unfurnished,,2.0,,0.0,Yes
3 BHK Flat,4.54,Mulund West,1451.0,31290.0,3 Year Old,3.0,Higherof 45 floors,Semi Furnished,1151.0,3.0,3.0,0.0,Yes
4 BHK Flat,5.15,Vile Parle East,1840.0,27990.0,2 Year Old,2.0,Higherof 8 floors,,,3.0,,0.0,Yes
1 BHK Flat,1.8,Powai,379.0,47490.0,1 Years Old,1.0,Lowerof 21 floors,Semi Furnished,379.0,1.0,2.0,0.0,Yes
2 BHK Flat,3.2,Andheri West,875.0,36570.0,1 Years Old,1.0,Lowerof 20 floors,,750.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.3,Mulund East,559.0,23250.0,1 BHK,,Higherof 18 floors,Unfurnished,430.0,1.0,2.0,0.0,Yes
2 BHK Flat,2.1,Chembur,850.0,24700.0,1 Years Old,1.0,Higherof 19 floors,Semi Furnished,726.0,2.0,1.0,0.0,Yes
3 BHK Flat,5.2,Chembur,1800.0,28890.0,3 Year Old,3.0,Middleof 8 floors,Semi Furnished,1670.0,3.0,2.0,1.0,Yes
1 BHK Flat,0.32,Naigaon East,630.0,5080.0,4 Year Old,4.0,Middleof 14 floors,Unfurnished,418.0,1.0,1.0,3.0,Yes
